Order,PID,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod/Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,1st_Flr_SF,2nd_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,3Ssn_Porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Yr_Sold,Sale_Type,Sale_Condition,SalePrice,Living_Area_Ratio,Basement_Area_Ratio,Garage_Area_Ratio,House_Age_Binned,Living_Area_Binned,Age_at_Sale,Years_Since_Remodel,Garage_Age,Total_Bathrooms,Total_Porch_SF,Total_SF,Has_Garage,Has_Basement,Has_Fireplace,PC1,PC2,PC3,PC4,PC5,PC6,PC7
5,527105010,60,RL,74.0,13830,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,No,GLQ,791.0,Unf,0.0,137.0,6.834108738813838,GasA,Gd,Y,SBrkr,928,701,0,7.396335293800808,0.0,0.0,2,1,3,1,TA,6,Typ,1,TA,Attchd,1997.0,Fin,2.0,6.180016653652572,TA,TA,Y,212,34,0,0,0,0,,MnPrv,,0,3,2010,WD ,Normal,189900,0.11778741865509762,0.0671005061460593,0.03485177151120752,Recent,Large,13,12,13.0,2.5,246,7.846980982138788,1,1,1,0.7882563024485304,-0.9626667481941243,0.6157263370448502,-0.006190597823025676,0.04600901211747644,0.3931022499387363,-1.2644126288265949
6,527105030,60,RL,78.0,9978,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,TA,TA,PConc,TA,TA,No,GLQ,602.0,Unf,0.0,324.0,6.831953565565855,GasA,Ex,Y,SBrkr,926,678,0,7.380879035564116,0.0,0.0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,1998.0,Fin,2.0,6.154858094016418,TA,TA,Y,360,36,0,0,0,0,,None,,0,6,2010,WD ,Normal,195500,0.16075365804770494,0.09280416917217879,0.04710362798155943,Recent,Large,12,12,12.0,2.5,396,7.836369760545124,1,1,1,1.0004302104037062,-0.942523152275735,0.6552103111578882,-0.05306200599656258,0.12496977922728518,-0.004703522347190926,-0.6329007855531197
9,527146030,120,RL,39.0,5389,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1180.0,Unf,0.0,415.0,7.3752557780097545,GasA,Ex,Y,SBrkr,1616,0,0,7.388327859577107,1.0,0.0,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1995.0,RFn,2.0,6.411818267709897,TA,TA,Y,237,152,0,0,0,0,,None,,0,3,2010,WD ,Normal,236500,0.299870105771015,0.29597327890146596,0.11282241603265912,Recent,Large,15,14,15.0,3.0,389,8.074649075066652,1,1,1,2.5349976964172876,1.8575034899335752,0.11457986482343428,-0.44407580781536865,0.49084825704207957,0.2925182603157351,0.5836361321550912
10,527162130,60,RL,60.0,7500,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,994.0,6.902742737158593,GasA,Gd,Y,SBrkr,1028,776,0,7.498315870766981,0.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1999.0,Fin,2.0,6.093569770045136,TA,TA,Y,140,60,0,0,0,0,,None,,0,6,2010,WD ,Normal,189000,0.24053333333333332,0.13253333333333334,0.05893333333333333,Recent,Very_Large,11,11,11.0,2.5,200,7.937017489515454,1,1,1,1.5434450899685073,-0.3611319619258852,0.9417918368027608,-0.307990557218182,0.05540389147502033,-0.5066469553770875,-0.24516002265020512
11,527163010,60,RL,75.0,10000,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,763.0,6.638567789166521,GasA,Gd,Y,SBrkr,763,892,0,7.412160334945205,0.0,0.0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1993.0,Fin,2.0,6.089044875446846,TA,TA,Y,157,84,0,0,0,0,,None,,0,4,2010,WD ,Normal,175900,0.1655,0.0763,0.044,Recent,Large,17,16,17.0,2.5,241,7.791109510610028,1,1,1,0.37914087198992147,-1.3444087044689745,1.2219913869975922,0.21429441721374815,0.08120479354186834,-0.1371199252323778,-0.5236859301025284
13,527166040,60,RL,63.0,8402,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,789.0,6.672032945461067,GasA,Gd,Y,SBrkr,789,676,0,7.290292882446597,0.0,0.0,2,1,3,1,TA,7,Typ,1,Gd,Attchd,1998.0,Fin,2.0,5.976350909297934,TA,TA,Y,0,75,0,0,0,0,,None,,0,5,2010,WD ,Normal,180400,0.17436324684598906,0.09390621280647465,0.04677457748155201,Recent,Large,12,12,12.0,2.5,75,7.720905251936779,1,1,1,0.49999187071500995,-1.7370760532173741,0.7177146414510831,-0.15218866245582233,0.22092059590678903,-0.09252544247832457,-0.41004678666819633
14,527180040,20,RL,85.0,10176,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,637.0,Unf,0.0,663.0,7.170888478512505,GasA,Gd,Y,SBrkr,1341,0,0,7.201916317531627,1.0,0.0,1,1,2,1,Gd,5,Typ,1,Po,Attchd,1990.0,Unf,2.0,6.2285110035911835,TA,TA,Y,192,0,0,0,0,0,,None,,0,2,2010,WD ,Normal,171500,0.1317806603773585,0.12775157232704404,0.0497248427672956,Recent,Medium,20,20,20.0,2.5,192,7.879291485082271,1,1,1,0.46132382705944425,0.8510815549418785,-0.79272346544897,0.04163583322226136,0.27508437476308184,0.05980520705414128,0.7194447877624055
38,528112020,20,RL,98.0,11478,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218.0,Unf,0.0,486.0,7.4413203897176174,GasA,Ex,Y,SBrkr,1704,0,0,7.4413203897176174,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3.0,6.650279048587422,TA,TA,Y,0,50,0,0,0,0,,None,,0,5,2010,WD ,Normal,306000,0.14845791949817042,0.14845791949817042,0.06725910437358425,New,Very_Large,3,2,2.0,3.0,50,8.134174272137903,1,1,1,4.278654971653427,1.7017913411883736,-0.4699312918829995,0.4604609253538626,-0.1768418153016233,0.5017289065472265,0.386053818342444
40,528120090,20,RL,94.0,12883,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1544.0,7.3427791893318455,GasA,Ex,Y,SBrkr,1544,0,0,7.3427791893318455,0.0,0.0,2,0,3,1,Gd,7,Typ,0,,Attchd,2009.0,RFn,3.0,6.767343125265392,TA,TA,Y,0,35,0,0,0,0,,None,,0,6,2010,New,Partial,290941,0.11984786152293721,0.11984786152293721,0.06737561127066677,New,Large,1,0,1.0,2.0,35,8.035602692918582,1,1,0,3.8284892493696723,1.0471623557360727,-1.175717339913204,0.8320629372104791,-0.8140736595239242,-0.34281123533492897,0.15938388778351747
41,528120100,20,RL,95.0,12182,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,Gd,TA,PConc,Gd,TA,Mn,BLQ,1201.0,Unf,0.0,340.0,7.340835554123275,GasA,Ex,Y,SBrkr,1541,0,0,7.340835554123275,0.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2005.0,RFn,2.0,6.278521424165844,TA,TA,Y,0,70,0,0,0,0,,None,,0,5,2010,New,Partial,220000,0.12649811196847807,0.12649811196847807,0.043670989985224104,New,Large,5,5,5.0,2.0,70,8.03365842788615,1,1,1,2.4779645592660127,1.0158000326595962,-0.8049917491978031,-0.8194784045962771,-0.17193746781104846,-0.4282141469988651,-0.5159585014012056
